"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: allocationSize"
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect","sample",16,8567355,"621,458447","119,230764","ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.00","sample",16,1,"19,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.50","sample",16,1,"43,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.90","sample",16,1,"64,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.95","sample",16,1,"142,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.99","sample",16,1,"594,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.999","sample",16,1,"1124,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.9999","sample",16,1,"15796,230400",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p1.00","sample",16,1,"53280768,000000",NaN,"ns/op",0
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect","sample",16,8393293,"719,004793","123,713685","ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.00","sample",16,1,"22,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.50","sample",16,1,"54,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.90","sample",16,1,"171,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.95","sample",16,1,"335,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.99","sample",16,1,"813,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialDirect:sequentialDirect·p0.999","sample",16,1,"1430,000000",NaN,"ns/op",1
